"","X","A1","A2","A3","A4","A5","C1","C2","C3","C4","C5","E1","E2","E3","E4","E5","N1","N2","N3","N4","N5","O1","O2","O3","O4","O5","gender","education","age"
"1",61617,2,4,3,4,4,2,3,3,4,4,3,3,3,4,4,3,4,2,2,3,3,6,3,4,3,1,NA,16
"2",61618,2,4,5,2,5,5,4,4,3,4,1,1,6,4,3,3,3,3,5,5,4,2,4,3,3,2,NA,18
"3",61620,5,4,5,4,4,4,5,4,2,5,2,4,4,4,5,4,5,4,2,3,4,2,5,5,2,2,NA,17
"4",61621,4,4,6,5,5,4,4,3,5,5,5,3,4,4,4,2,5,2,4,1,3,3,4,3,5,2,NA,17
"5",61622,2,3,3,4,5,4,4,5,3,2,2,2,5,4,5,2,3,4,4,3,3,3,4,3,3,1,NA,17
"6",61623,6,6,5,6,5,6,6,6,1,3,2,1,6,5,6,3,5,2,2,3,4,3,5,6,1,2,3,21
"7",61624,2,5,5,3,5,5,4,4,2,3,4,3,4,5,5,1,2,2,1,1,5,2,5,6,1,1,NA,18
"8",61629,4,3,1,5,1,3,2,4,2,4,3,6,4,2,1,6,3,2,6,4,3,2,4,5,3,1,2,19
"9",61630,4,3,6,3,3,6,6,3,4,5,5,3,NA,4,3,5,5,2,3,3,6,6,6,6,1,1,1,19
"10",61633,2,5,6,6,5,6,5,6,2,1,2,2,4,5,5,5,5,5,2,4,5,1,5,5,2,2,NA,17
"11",61634,4,4,5,6,5,4,3,5,3,2,1,3,2,5,4,3,3,4,2,3,5,3,5,6,3,1,1,21
"12",61636,2,5,5,5,5,5,4,5,4,5,3,3,4,5,4,4,5,3,2,NA,4,6,4,5,4,1,NA,16
"13",61637,5,5,5,6,4,5,4,3,2,2,3,3,3,2,4,1,2,2,2,2,4,2,4,5,2,2,NA,16
"14",61639,5,5,5,6,6,4,4,4,2,1,2,2,4,6,5,1,1,1,2,1,5,3,4,4,4,1,NA,16
"15",61640,4,5,2,2,1,5,5,5,2,2,3,4,3,6,5,2,4,2,2,3,5,2,5,5,5,1,1,17
"16",61643,4,3,6,6,3,5,5,5,3,5,1,1,6,6,4,4,5,4,5,5,6,6,6,3,2,1,NA,17
"17",61650,4,6,6,2,5,4,4,4,4,4,1,2,5,5,5,4,4,4,4,5,5,1,5,6,3,2,NA,17
"18",61651,5,5,5,4,5,5,5,5,4,3,2,2,4,6,6,6,5,5,4,4,5,1,4,5,4,1,NA,17
"19",61653,4,4,5,4,3,5,4,5,4,6,1,2,4,5,5,5,6,5,5,2,4,2,2,4,2,2,NA,16
"20",61654,4,4,6,5,5,1,1,1,5,6,1,1,4,5,6,5,5,5,1,1,4,1,5,3,2,2,NA,17
"21",61656,5,4,2,1,2,4,6,5,5,4,3,3,5,5,4,1,3,3,2,1,6,1,3,2,4,1,NA,17
"22",61659,1,6,6,1,5,5,4,4,2,3,1,2,4,3,4,2,5,5,4,6,5,1,6,6,2,2,NA,17
"23",61661,1,5,6,5,6,4,3,2,4,5,2,1,2,5,2,2,2,2,2,2,6,1,5,5,2,1,5,68
"24",61664,2,6,5,6,5,3,5,6,3,6,2,2,4,6,6,4,4,4,6,6,6,1,5,6,1,2,2,27
"25",61667,4,5,5,6,5,5,5,4,1,1,3,2,5,5,6,2,3,3,1,1,6,2,5,6,2,1,1,18
"26",61668,1,6,6,1,6,5,2,5,1,1,1,1,6,6,6,2,3,1,2,1,6,4,5,5,3,2,3,20
"27",61669,2,4,4,4,3,6,5,6,1,1,2,4,4,2,6,3,3,5,3,2,5,2,6,6,1,2,5,51
"28",61670,2,5,6,6,6,4,5,4,3,4,1,2,6,6,6,4,4,5,2,3,6,1,6,4,3,2,NA,14
"29",61672,2,5,1,3,5,5,4,5,2,5,1,2,6,5,4,1,4,2,2,5,2,4,5,4,1,2,3,33
"30",61673,4,5,6,5,5,5,5,3,5,4,1,2,6,5,5,5,4,4,3,1,4,4,6,5,1,2,3,18
"31",61678,1,6,5,6,3,5,5,5,4,3,2,5,1,5,3,5,5,5,6,6,4,3,3,6,5,2,NA,17
"32",61679,2,5,6,6,6,5,5,5,2,4,1,2,4,5,5,3,2,4,1,2,5,2,5,5,2,2,3,41
"33",61682,1,5,6,5,4,1,5,6,4,6,6,6,2,1,1,1,2,1,3,6,6,6,5,6,1,1,5,23
"34",61683,2,4,5,6,5,4,6,4,2,4,2,2,3,5,3,2,2,4,1,3,5,5,5,4,2,2,NA,17
"35",61684,4,4,4,4,4,4,3,3,3,4,2,3,4,2,3,NA,2,1,2,2,4,3,5,5,3,1,3,20
"36",61685,5,3,5,4,2,2,2,4,3,4,3,4,3,2,3,5,3,4,4,3,4,5,4,4,3,1,3,23
"37",61686,1,6,4,6,4,5,6,3,1,5,6,6,3,2,2,2,2,2,4,1,5,5,4,5,3,1,3,20
"38",61687,1,4,4,2,3,6,5,6,3,4,3,4,3,3,5,5,6,5,5,4,5,5,4,5,2,1,3,21
"39",61688,1,6,6,6,6,6,6,6,1,1,1,1,1,6,6,1,1,1,1,1,6,1,6,6,1,1,NA,30
"40",61691,1,5,4,3,5,6,5,5,2,2,3,2,3,6,5,1,2,1,2,1,5,1,6,6,1,2,5,48
"41",61692,1,5,5,6,5,4,4,4,3,4,4,3,4,4,4,2,2,3,3,3,4,3,2,5,2,2,3,40
"42",61693,5,4,3,6,4,5,2,5,2,4,6,4,2,4,4,1,2,1,2,NA,3,3,2,2,5,2,4,27
"43",61696,1,5,4,4,5,4,5,4,3,3,3,3,2,5,4,2,3,1,3,2,4,3,5,4,3,1,1,18
"44",61698,5,6,4,3,5,5,3,3,4,5,6,4,4,4,3,2,2,3,4,5,3,5,4,4,4,1,4,20
"45",61700,2,6,6,6,6,5,4,5,3,4,2,2,4,5,5,2,2,2,2,3,5,2,5,5,1,2,5,24
"46",61701,1,6,6,6,6,5,2,1,2,1,6,5,6,6,5,2,1,4,6,5,6,5,6,6,1,1,3,25
"47",61702,5,5,3,4,3,4,4,3,4,5,4,4,5,2,4,4,5,3,5,2,3,5,4,4,2,1,2,22
"48",61703,2,6,4,5,5,3,2,3,4,6,2,4,2,4,4,3,4,2,2,4,5,4,5,3,2,2,1,18
"49",61713,1,5,3,2,3,3,6,3,1,3,5,5,5,5,3,5,5,5,5,3,3,3,2,5,1,2,1,43
"50",61715,1,6,6,6,6,5,5,4,1,2,1,1,6,6,6,4,4,1,1,1,6,3,6,6,1,1,3,20
"51",61716,1,6,6,6,4,4,3,1,4,2,2,2,5,4,4,6,6,6,3,3,3,1,4,6,2,2,3,24
"52",61723,1,5,6,5,4,6,6,6,6,2,4,4,4,3,6,1,1,1,6,5,5,6,3,6,3,2,4,26
"53",61724,3,6,4,4,4,5,5,3,2,5,1,1,4,6,5,2,2,1,1,1,5,1,5,5,6,1,4,26
"54",61725,4,3,5,6,3,5,6,2,5,2,3,5,2,6,2,6,5,5,5,6,2,5,2,6,4,2,3,25
"55",61728,1,6,6,6,6,6,5,5,2,2,1,2,5,6,5,2,3,2,3,2,5,3,5,5,2,1,4,25
"56",61730,1,4,3,5,5,5,5,4,4,5,2,5,4,5,5,2,4,4,5,3,5,1,6,6,1,1,5,26
"57",61731,1,4,2,2,2,5,5,5,5,1,4,5,4,3,4,3,4,5,5,5,4,4,6,6,3,2,3,21
